line_num	word_num	left	top	conf	text
0	0	0	0	-1.0	
0	0	174	107	-1.0	
0	0	174	107	-1.0	
1	0	174	107	-1.0	
1	1	174	107	55.061016	xi
1	2	224	107	78.938324	Contents
2	0	537	159	-1.0	
2	1	537	161	76.56929	Arma
2	2	609	159	77.743408	Bontemps
3	0	355	190	-1.0	
3	1	355	194	96.23613	“A
3	2	401	192	96.536621	Summer
3	3	509	191	86.298431	Tragedy”
3	4	1108	190	95.437965	208
4	0	356	223	-1.0	
4	1	356	226	79.749832	“Nocturne
4	2	491	230	96.760864	at
4	3	527	224	40.057594	Bethesda”
4	4	1108	223	94.952332	215
5	0	357	255	-1.0	
5	1	357	258	76.363503	“Southern
5	2	488	257	93.535278	Mansion”
5	3	1109	255	95.94986	217
6	0	357	287	-1.0	
6	1	357	287	95.117409	“Reconnaissance”
6	2	1109	288	95.829803	217
7	0	538	344	-1.0	
7	1	538	344	95.846916	Sterling
7	2	643	345	95.678543	A.
7	3	680	344	95.830948	Brown
8	0	359	375	-1.0	
8	1	359	377	95.016579	“Sister
8	2	448	377	95.657898	Lou”
8	3	1110	375	93.976707	218
9	0	359	408	-1.0	
9	1	359	410	96.470772	“Children
9	2	485	410	96.857613	of
9	3	520	410	96.124176	the
9	4	570	408	79.198715	Mississippi”
9	5	1111	408	95.726219	220
10	0	360	440	-1.0	
10	1	360	444	96.853813	Chapter
10	2	466	443	94.477127	II
10	3	497	443	91.695412	“The
10	4	564	443	95.802032	American
10	5	685	442	96.484276	Race
10	6	752	441	95.753853	Problem
10	7	857	447	89.895233	as
10	8	891	440	86.223694	Reflected
10	9	1006	441	96.706955	in
11	0	387	473	-1.0	
11	1	387	476	94.269112	American
11	2	509	475	86.610214	Literature”
11	3	650	476	96.415344	from
11	4	717	474	96.415344	The
11	5	768	474	96.519737	Journal
11	6	866	474	96.720291	of
11	7	899	474	96.195015	Negro
11	8	980	473	96.286285	Education
11	9	1112	474	65.04422	221
12	0	542	529	-1.0	
12	1	542	529	93.264343	Melvin
12	2	637	529	91.493469	Tolson
13	0	362	560	-1.0	
13	1	362	563	96.36615	“Dark
13	2	447	563	95.792778	Symphony”
13	3	1113	560	83.638367	239
14	0	362	578	-1.0	
14	1	362	578	0.0	“Pai”
14	2	1113	593	93.506454	242
15	0	544	648	-1.0	
15	1	544	649	91.616905	Robert
15	2	641	648	96.480888	Hayden
16	0	363	680	-1.0	
16	1	363	684	95.617668	“A
16	2	408	682	95.617668	Ballad
16	3	493	682	93.278175	of
16	4	528	681	74.310104	Rememberance”
16	5	1113	680	90.631012	252
17	0	364	713	-1.0	
17	1	364	716	96.299232	“Tour
