Work,Author,Page Number
[The Trial of Martha Carrier},vii,310
Magnalia Christi Americana,vii,313
Governor of Plymouth Colony,vii,313
Governor of the Massachusetts Colony,vii,320
ROBERT CALEF (1648-1719),vii,334
More Wonders of the Invisible World,vii,335
Part H,vii,335
A Letter to Mr. Cotton Mather,vii,335
Account of Margaret Rule,vii,338
HANNAH DUSTAN’'S CAPTIVITY AND REVENGE,vii,343
"SAMUEL SEWALL: Diary, April 29 and May 12, 1697",vii,344
COTTON MATHER: A Notable Exploit: Dux Faemina Facti,vii,344
North America,vii,347
JOHN GREENLEAF WHITTIER: The Mother's Revenge,vii,348
Merrimack Rivers,vii,350
SARAH JOSEPHA HALE: The Father's Choice,vii,352
THE NEW-ENGLAND PRIMER (1690),vii,353
Alphabet,vii,355
Introduction,vii,357
Timeline,vii,366
SARAH KEMBLE KNIGHT (1666-1727),vii,368
The Private Journal of a Journey from Boston to New York,vii,368
"Tuesday, October the Third",vii,368
"Friday, October the Sixth",vii,372
"Saturday, October the Seventh",vii,372
From December the Sixth,vii,376
January the Sixth,vii,377
WILLIAM BYRD (1674-1744),vii,378
"From The Secret Diary of William Byrd of Westover, 1710-1712",vii,379
JONATHAN EDWARDS (1703-1758),vii,384
Personal Narrative,vii,386
On Sarah Pierpont,vii,396
Sarah Edwards's Narrative,vii,397
A Divine and Supernatural Light,vii,404
"Letter to Rev. Dr. Benjamin Colman (May 30, 1735)",vii,417
[The Great Awakening],vii,417
Sinners in the Hands of an Angry God,vii,425
NATIVE AMERICANS: CONTACT AND CONFLICT,vii,437
PONTIAC: Speech at Detroit,vii,438
SAMSON OCCOM: From A Short Narrative of My Life,vii,440
on the State of Virginia,vii,443
RED JACKET: Speech to the U.S. Senate,vii,445
TECUMSEH: Speech to the Osages,vii,447
BENJAMIN FRANKLIN (1706-1790),vii,449
The Way to Wealth,vii,1
Small One,vii,457
Information to Those Who Would Remove to America,vii,463
Remarks Concerning the Savages of North America,vii,468
The Autobiography,vii,472
JOHN WOOLMAN (1720-1772),vii,587
The Journal of John Woolman,vii,588
J. HECTOR ST. JOHN DE CREVECOEUR (1735-1813),vii,595
Letters from an American Farmer,vii,596
From Letter HL. What Is an American,vii,596
From Letter IX. Description of Charles-Town,vii,605
From Letter X. On Snakes; and on the Humming Bird,vii,610
JOHN ADAMS (1735-1826) and ABIGAIL ADAMS (1744-1818),vii,616
The Letters of John and Abigail Adams,vii,617
[Classical Parallels],vii,617
[Prayers at the Congress],vii,618
"John Adams to Abigail Adams (July 23, 1775) [Dr. Franklin]",vii,619
Favor of New England],vii,620
Up a Great Empire],vii,621
Are Free and Independent States},vii,623
Declaration of Independence],vii,624
Smallpox. The Grey Horse},vii,625
Have Forgotten My Wile and Children?],vii,627
Proclamation for Independence Read Aloud],vii,627
THOMAS PAINE (1737-1809),vii,629
Common Sense,vii,630
Introduction,vii,630
From IE. Thoughts on the Present State of American Affairs,vii,631
"The Crisis, No. 1",vii,637
The Age of Reason,vii,643
Chapter [. The Author's Profession of Faith,vii,643
Chapter I. Of Missions and Revelations,vii,644
True Theology,vii,646
THOMAS JEFFERSON (1743-1826),vii,649
The Autobiography of Thomas Jefferson,vii,651
From The Declaration of Independence,vii,651
Notes on the State of Virginia,vii,657
Query V. Cascades,vii,657
(Natural Bridge],vii,657
"Query VI. Productions Mineral, Vegetable and Animal",vii,658
Query XVIL. Religion,vii,660
Query XIX. Manufactures,vii,664
THE FEDERALIST,vii,665
No. 1 [Alexander Hamilton],vii,666
No. 10 [James Madison},vii,669
OLAUDAH EQUIANO (17452-1797),vii,674
"Gustavas Vassa, the African, Written by Himself",vii,675
From Chapter |,vii,675
Chapter I,vii,677
From Chapter II],vii,687
From Chapter IV,vii,689
From Chapter V,vii,693
From Chapter V1,vii,697
From Chapter VII,vii,705
WOMENS POETRY: FROM MANUSCRIPT TO PRINT,vii,710
JANE COLMAN TURELL,vii,711
"To My Muse, December 29, 1725",vii,711
{Lines on Childbirth],vii,712
ANNIS BOUDINOT STOCKTON,vii,713
To my Burrissa—,vii,713
SARAH WENTWORTH MORTON,vii,715
Stanzas to a Husband Recently United,vii,717
MERCY OTIS WARREN,vii,718
A Thought on the Inestimable Blessing of Reason,vii,719
[Prologue for Lines] To a Patriotic Gentleman,vii,720
ANN ELIZA BLEECKER,vii,721
On the Immensity of Creation,vii,721
To Miss M. V. W.,vii,722
MARGARETTA FAUGERES,vii,723
"To Aribert. October, 1790",vii,723
JUDITH SARGENT MURRAY (1751-1820),vii,724
On the Equality of the Sexes,vii,726
The Gleaner,vii,733
Chapter XI,vii,733
[History of Miss Wellwood),vii,733
PHILIP FRENEAU (1752-1832),vii,742
Country,vii,743
The Indian Burying Ground,vii,745
To Sir Toby,vii,746
On Mr. Paine’s Rights of Man,vii,748
On the Religion of Nature,vii,749
On Observing a Large Red-Streak Apple,vii,750
PHILLIS WHEATLEY (ca. 1753-1784),vii,751
On Being Brought from Africa to America,vii,752
To Mieacenas,vii,753
"To the Right Honorable William, Earl of Dartmouth",vii,754
To the University of Cambridge. in New England,vii,755
"On the Death of the Rev. Mr. George Whitefield, 1770",vii,756
Thoughts on the Works of Providence,vii,757
"To S.M., a Young African Painter, on Seeing His Works",vii,760
To His Excellency General Washington,vii,761
Letters,vii,763
"To John Thornton (April 21, 1772)",vii,763
"To Rev. Samson Occom (February 11, 1774)",vii,763
ROYALL TYLER (1757-1826),vii,764
The Contrast,vii,765
HANNAH WEBSTER FOSTER (1758-1840),vii,806
"The Coquette; or, The History of Eliza Wharton",vii,807
TABITHA TENNEY (1762-1837),vii,905
Female Quixotism,vii,905
Book I,vii,905
Chapter IX,vii,905
Chapter XIV,vii,912
Chapter XV,vii,918
Introduction,ACKNOWLEDGMENTS xy,929
Timeline,ACKNOWLEDGMENTS xy,948
WASHINGTON IRVING (1783-1859),ACKNOWLEDGMENTS xy,951
Rip Van Winkle,ACKNOWLEDGMENTS xy,953
The Legend of Sleepy Hollow,ACKNOWLEDGMENTS xy,965
JAMES FENIMORE COOPER (1789-1851),ACKNOWLEDGMENTS xy,985
The Pioneers,ACKNOWLEDGMENTS xy,987
Volume I,ACKNOWLEDGMENTS xy,988
A Sudden Storm],ACKNOWLEDGMENTS xy,988
Chapter IL [The Slaughter of the Pigeons],ACKNOWLEDGMENTS xy,995
The Last of the Mohicans,ACKNOWLEDGMENTS xy,1002
Volume I,ACKNOWLEDGMENTS xy,1003
Stories of the Fathers],ACKNOWLEDGMENTS xy,1003
CATHARINE MARIA SEDGWICK (1789-1867),ACKNOWLEDGMENTS xy,1009
Hope Leslie,ACKNOWLEDGMENTS xy,1010
Volume I,ACKNOWLEDGMENTS xy,1011
"Chapter IV [Magawisca’s History of “The Pequod War""}",ACKNOWLEDGMENTS xy,1011
Volume I,ACKNOWLEDGMENTS xy,1023
Chapter XIV [Magawisca’s Farewell],ACKNOWLEDGMENTS xy,1023
LYDIA HOWARD HUNTLEY SIGOURNEY (1791-1865),ACKNOWLEDGMENTS xy,1028
Death of an Infant,ACKNOWLEDGMENTS xy,1029
The Suttee,ACKNOWLEDGMENTS xy,1030
To the First Slave Ship,ACKNOWLEDGMENTS xy,1031
Columbus before the University of Salamanca,ACKNOWLEDGMENTS xy,1032
Indian Names,ACKNOWLEDGMENTS xy,1033
The Coral Insect,ACKNOWLEDGMENTS xy,1035
To a Shred of Linen,ACKNOWLEDGMENTS xy,1036
Niagara,vii,1038
Our Aborigines,vii,1039
The Two Draughts,vii,1040
Fallen Forests,vii,1041
Erin's Daughter,vii,1042
Two Old Women,vii,1043
WILLIAM CULLEN BRYANT (1794-1878),vii,1044
Thanatopsis,vii,1045
To a Waterfowl,vii,1047
Sonnet—To an American Painter Departing for Europe,vii,1048
The Prairies,vii,1048
WILLIAM APESS (1798-1839),vii,1051
An Indian's Looking-Glass for the White Man,vii,1051
JANE JOHNSTON SCHOOLCRAFT (1800-1842),vii,1058
"Elegy: On the death of my son William Henry, at St. Mary's",vii,1059
Sweet Willy,vii,1060
To the Pine Tree,vii,1061
"Lines Written at Castle Island, Lake Superior",vii,1062
Two Songs,vii,1063
[My lover is tall and handsome},vii,1064
"Moowis, the Indian Coquette",vii,1065
"The Little Spirit, or Boy-Man",vii,1066
CAROLINE STANSBURY KIRKLAND (1801-1864),vii,1068
"A New Home—Who'll Follow? or, Glimpses of Western Life",vii,1069
Preface,vii,1069
Chapter I,vii,1070
Chapter XVI,vii,1074
LYDIA MARIA CHILD (1802-1880),vii,1078
Letters from New-York,vii,1081
Letter | [The Streets of a Modern Babylon],vii,1081
Letter XIV [Burying Ground of the Poor],vii,1083
Letter XX [Birds],vii,1087
Letter XXVHE [Anecdote of a Donkey; Universal Harmony],vii,1092
Letter XXXIV [Women’s Rights],vii,1096
Letter XXXVI [Barnum’s American Museum],vii,1100
RALPH WALDO EMERSON (1803-1882),vii,1106
Nature,vii,1110
The American Scholar,vii,1138
The Divinity School Address,vii,1151
Self-Reliance,vii,1163
The Poet,vii,1180
Experience,vii,1195
John Brown,vii,1211
Fate,vii,1213
Thoreau,vii,1231
Each and All,vii,1244
The Snow-Storm,vii,1245
Bacchus,vii,1246
Merlin,vii,1248
Brahma,vii,1251
"Letter to Walt Whitman (July 21, 1855)",vii,1251
NATIVE AMERICANS: REMOVAL AND RESISTANCE,vii,1252
BLACK HAWKE: From Life of Black Hawk,vii,1253
PETALESHARO: Speech of the Pawnee Chief,vii,1257
Speech of the Pawnee Loup Chief,vii,1259
ELIAS BOUDINOT: From the Cherokee Phoenix,vii,1260
"Memorial of the Cherokee Citizens, November 5, 1829",vii,1263
RALPH WALDO EMERSON: Letter to President Martin Van Buren,vii,1268
NATHANIEL HAWTHORNE (1804-1864),vii,1272
"My Kinsman, Major Molineux",vii,1276
Young Goodman Brown,vii,1289
Wakefield,vii,1298
The May-Pole of Merry Mount,vii,1304
The Minister's Black Veil,vii,1311
The Birth-Mark,vii,1320
Rappaccini’s Daughter,vii,1332
The Scarlet Letter,vii,1352
The Custom-House,vii,1352
The Scarlet Letter,vii,1377
Preface to The House of the Seven Gables,vii,1493
HENRY WADSWORTH LONGFELLOW (1807-1882),vii,1495
A Psalm of Life,vii,1497
The Slave Singing at Midnight,vii,1498
The Day Is Done,vii,1499
"Evangeline, A Tale of Acadie",vii,1500
[Prologue],vii,1500
The Fire of Drift-wood,vii,1501
The Jewish Cemetery at Newport,vii,1502
My Lost Youth,vii,1504
The Cross of Snow,vii,1506
JOHN GREENLEAF WHITTIER (1807-1892),vii,1507
The Hunters of Men,vii,1509
Ichabod!,vii,1510
EDGAR ALLAN POE (1809-1849),vii,1528
Sonnet—To Science,vii,1532
To Helen,vii,1532
Israfel,vii,1533
The City in the Sea,vii,1534
Alone,vii,1536
The Raven,vii,1536
To ———. Ulalume: A Ballad,vii,1539
Annabel Lee,vii,1542
Ligeia,vii,1543
The Fall of the House of Usher,vii,1553
William Wilson. A Tale,vii,1566
The Man of the Crowd,vii,1579
The Masque of the Red Death,vii,1585
The Tell-Tale Heart,vii,1589
The Black Cat,vii,1593
The Purloined Letter,vii,1599
The Cask of Amontillado,vii,1612
The Philosophy of Composition,vii,1617
From The Poetic Principle,vii,1625
ABRAHAM LINCOLN (1809-1865),vii,1627
"of the Republican State Convention, June 16, 1858",vii,1628
"Nov. 19, 1863",vii,1635
"Second Inaugural Address, March 4, 1865",vii,1635
MARGARET FULLER (1810-1850),vii,1637
Women,vii,1640
"Summer on the Lakes, in 1843",vii,1659
Chapter I,vii,1659
Chapter HI,vii,1664
An American Slave,vii,1673
Fourth of July,vii,1675
Things and Thoughts in Europe,vii,1677
Letter XVIII,vii,1677
AMERICAN LITERATURE,vii,1682
THOMAS JEFFERSON: From Notes on the State of Virginia,vii,1683
DAVID WALKER: From David Walker's Appeal in Four Articles,vii,1686
WILLIAM LLOYD GARRISON: To the Public,vii,1690
the South,vii,1692
"Akron, Ohio, 1851",vii,1695
the American Continent,vii,1696
HARRIET BEECHER STOWE (1811-1896),vii,1698
"Uncle Tom's Cabin; or, Life among the Lowly",vii,1701
Volume |,vii,1701
Humanity,vii,1701
Chapter HI. The Husband and Father,vii,1708
Chapter VII. The Mother's Struggle,vii,1711
Chapter IX. In Which It Appears That a Senator Is but a Man,vii,1721
Chapter XIE. Select Incident of Lawful Trade,vii,1732
Chapter NIH. The Quaker Settlement,vii,1744
Chapter XIV. Evangeline,vii,1751
Volume II,vii,1758
Chapter XX. Topsy,vii,1758
Chapter XXX. The Slave Warehouse,vii,1768
Chapter XXXI. The Middle Passage,vii,1776
