line_num	word_num	left	top	conf	text
0	0	0	0	-1.0	
0	0	119	63	-1.0	
0	0	119	63	-1.0	
1	0	120	63	-1.0	
1	1	120	68	82.442139	xx
1	2	152	63	0.0	/
1	3	173	64	0.0	Contents
2	0	140	112	-1.0	
2	1	140	112	96.824303	Crow
2	2	188	112	96.536301	Testament
2	3	317	113	96.039291	3243
3	0	140	134	-1.0	
3	1	140	134	89.33017	Do
3	2	170	134	96.626732	Not
3	3	206	134	96.014702	Go
3	4	235	134	96.014702	Gentle
3	5	334	135	95.767609	3245
4	0	119	178	-1.0	
4	1	119	178	89.146027	JHUMPA
4	2	205	178	90.656258	LAHIRI
4	3	276	178	88.423172	(b.
4	4	306	179	95.943359	1967)
4	5	716	179	96.596428	3248
5	0	140	200	-1.0	
5	1	140	200	89.341331	Sexy
5	2	220	201	37.437492	3249
6	0	121	256	-1.0	
6	1	121	256	95.144852	SELECTED
6	2	228	256	62.630268	BIBLIOGRAPHIES:
6	3	733	257	96.276871	Al
7	0	121	284	-1.0	
7	1	121	284	96.256744	PERMISSIONS
7	2	265	284	89.759102	ACKNOWLEDGMENTS
7	3	722	285	88.961021	A25
8	0	121	312	-1.0	
8	1	121	312	96.522621	INDEX
8	2	722	313	0.0	A338
