line_num	word_num	left	top	conf	text
0	0	0	0	-1.0	
0	0	109	63	-1.0	
0	0	109	63	-1.0	
1	0	590	63	-1.0	
1	1	590	64	72.321587	Conrents
1	2	696	63	79.932083	/
1	3	716	64	85.152	xiii
2	0	146	112	-1.0	
2	1	146	113	69.324158	A
2	2	164	112	69.324158	Woman
2	3	231	112	96.080078	Waits
2	4	282	112	95.744606	for
2	5	312	112	96.51329	Me
2	6	380	113	95.461494	2256
3	0	147	134	-1.0	
3	1	147	134	91.031815	Spontancous
3	2	258	134	58.488945	Me
3	3	328	135	39.141079	2257
4	0	146	156	-1.0	
4	1	146	156	94.802284	Once
4	2	197	156	91.679657	I
4	3	209	156	85.255974	Pass'd
4	4	263	156	95.073074	through
4	5	332	162	90.718704	a
4	6	347	156	90.718704	Populous
4	7	428	156	79.335236	City
4	8	504	157	35.311493	2259
5	0	147	178	-1.0	
5	1	147	178	92.616562	Facing
5	2	205	178	96.400047	West
5	3	251	178	95.487129	from
5	4	295	178	73.472092	California's
5	5	393	178	95.636681	Shores
5	6	492	179	96.268387	2259
6	0	128	200	-1.0	
6	1	128	200	95.796303	Calamus
6	2	242	201	96.561378	2260
7	0	147	222	-1.0	
7	1	147	222	92.984993	Scented
7	2	218	222	90.644783	Herbage
7	3	292	222	96.750214	of
7	4	314	222	88.233185	My
7	5	346	222	56.623707	Breast
7	6	440	223	62.510334	2260
8	0	146	244	-1.0	
8	1	146	244	89.152191	Whoever
8	2	224	244	96.854347	You
8	3	256	245	96.911598	Are
8	4	291	244	96.562767	Holding
8	5	363	244	95.909286	Me
8	6	395	244	96.180634	Now
8	7	438	246	96.861046	in
8	8	460	244	96.889641	Hand
8	9	548	245	96.555229	2261
9	0	146	266	-1.0	
9	1	146	266	96.58448	Trickle
9	2	208	266	96.530685	Drops
9	3	300	267	96.375168	2262
10	0	147	288	-1.0	
10	1	147	288	96.369972	Here
10	2	193	288	93.274612	the
10	3	224	288	92.579224	Frailest
10	4	290	288	95.704552	Leaves
10	5	350	288	95.704552	of
10	6	372	288	95.062729	Me
10	7	442	289	96.209549	2262
11	0	128	310	-1.0	
11	1	128	310	96.246597	Crossing
