line_num	word_num	left	top	conf	text
0	0	0	0	-1.0	
0	0	108	63	-1.0	
0	0	108	63	-1.0	
1	0	594	63	-1.0	
1	1	594	64	11.578842	Contents
1	2	700	63	85.932976	/
1	3	720	64	94.700157	xix
2	0	108	112	-1.0	
2	1	108	112	96.457809	CATHY
2	2	177	112	93.294647	SONG
2	3	238	112	85.476128	(b.
2	4	268	113	95.120453	1955)
2	5	704	114	95.181984	3190
3	0	126	134	-1.0	
3	1	126	134	69.769386	‘The
3	2	164	134	95.995407	White
3	3	221	134	96.458832	Porch
3	4	311	136	95.856323	3191
4	0	128	156	-1.0	
4	1	128	156	94.957596	Beauty
4	2	189	156	94.957596	and
4	3	225	156	65.00396	Sadness
4	4	334	158	47.073036	3193
5	0	128	178	-1.0	
5	1	128	178	95.140511	Lost
5	2	169	178	96.936752	Sister
5	3	258	179	95.654602	3194
6	0	128	200	-1.0	
6	1	128	200	95.944748	Heaven
6	2	233	202	93.608299	3196
7	0	109	250	-1.0	
7	1	109	250	78.144722	LI-YOUNG
7	2	210	250	93.163086	LEE
7	3	252	250	81.484932	(b.
7	4	281	251	96.07518	1957)
7	5	704	251	95.711807	3197
8	0	126	272	-1.0	
8	1	126	272	75.784866	The
8	2	164	272	96.061966	Gift
8	3	240	273	78.160904	3198
9	0	128	290	-1.0	
9	1	128	290	78.205894	Persimmons
9	2	271	296	89.538513	3199
10	0	128	316	-1.0	
10	1	128	316	90.659775	EatingAlone
10	2	276	317	35.921677	3201
11	0	128	338	-1.0	
11	1	128	338	95.56601	Eating
11	2	186	338	77.767563	Together
11	3	301	339	54.169456	3201
12	0	128	356	-1.0	
12	1	128	356	95.378197	Mnemonic
12	2	260	361	95.53598	3202
13	0	126	382	-1.0	
13	1	126	382	73.696419	This
13	2	169	382	96.821602	Room
13	3	222	382	95.891205	and
13	4	258	382	93.662827	Everything
13	5	351	384	94.403976	in
13	6	372	382	94.403976	It
13	7	428	383	95.156372	3203
14	0	212	429	-1.0	
14	1	212	430	90.86451	WRITING
14	2	291	430	91.359863	INA
14	3	329	430	91.359863	TIME
14	4	373	430	96.426079	OF
14	5	400	430	89.493744	TERROR:
14	6	476	430	95.968781	SEPTEMBER
14	7	580	431	90.877548	11,
14	8	605	432	88.895996	2001
14	9	704	429	96.628532	3205
15	0	127	472	-1.0	
15	1	127	472	96.758789	From
15	2	174	472	96.754715	The
15	3	212	472	96.676697	9/11
15	4	254	472	96.722359	Commission
15	5	362	472	96.887154	Report
15	6	460	473	95.941811	3206
16	0	126	520	-1.0	
16	1	126	520	93.297867	JOHN
16	2	186	520	89.719955	UPDIKE:
16	3	271	520	93.745636	[Comment]
16	4	370	520	96.590988	from
16	5	414	520	96.206459	The
16	6	450	520	96.795761	New
16	7	491	520	96.795761	Yorker
16	8	584	521	94.791893	3210
17	0	128	566	-1.0	
17	1	128	566	91.257011	KIMIKO
17	2	207	566	96.1315	HAHN:
17	3	275	566	96.713173	Her
17	4	311	566	96.142448	Very
17	5	352	566	85.66069	Eyes
17	6	433	567	96.610008	3212
18	0	128	612	-1.0	
18	1	128	612	89.873993	PATTIANN
18	2	229	612	96.605537	ROGERS:
18	3	318	612	86.695999	Grief
18	4	404	613	93.137405	3213
19	0	128	660	-1.0	
19	1	128	660	96.695137	BRENDAN
19	2	228	660	96.070274	GALVIN:
19	3	310	660	96.76442	Fragments
19	4	401	662	73.88652	#1
19	5	427	660	93.767097	and
19	6	463	662	66.210625	#3
19	7	526	661	96.230721	3214
20	0	128	706	-1.0	
20	1	128	706	95.429604	DAVID
20	2	193	706	96.542915	RAY:
20	3	237	706	96.490097	Six
20	4	268	706	96.700981	Months
20	5	334	706	96.22821	After
20	6	419	707	85.417221	3215
21	0	128	752	-1.0	
21	1	128	752	91.228378	NAOMI
21	2	201	752	91.228378	SHIHAB
21	3	280	752	95.053558	NYE:
21	4	329	752	63.91851	Shoulders:
21	5	454	753	93.720665	3216
22	0	128	798	-1.0	
22	1	128	798	45.627979	C.D.
22	2	175	798	95.011543	WRIGHT:
22	3	265	798	96.398727	On
22	4	296	798	95.729187	the
22	5	327	798	96.764778	Eve
22	6	362	794	96.92881	of
22	7	387	798	96.933914	Our
22	8	420	798	93.532822	Mutually
22	9	494	798	95.561562	Assured
23	0	181	816	-1.0	
23	1	181	816	95.926666	Destruction
23	2	322	821	96.053009	3217
24	0	128	868	-1.0	
24	1	128	868	89.670578	D.
24	2	154	868	92.110359	NURKSE:
24	3	242	868	96.802261	The
24	4	281	868	96.107971	Reunification
24	5	396	868	96.946999	Center
24	6	496	869	96.860687	3218
25	0	109	918	-1.0	
25	1	109	918	96.626503	RICHARD
25	2	204	918	93.305664	POWERS
25	3	292	918	83.230835	(b.
25	4	321	919	95.669876	1957)
25	5	704	919	94.346718	3219
26	0	126	940	-1.0	
26	1	126	940	92.510651	The
26	2	165	940	96.93573	Seventh
26	3	236	940	96.57077	Event
26	4	326	941	96.541496	3220
27	0	108	992	-1.0	
27	1	108	992	92.969398	WILLIAM
27	2	200	992	81.325302	T.
27	3	221	992	91.247025	VOLLMANN
27	4	339	992	81.756058	(b.
27	5	368	993	96.658028	1959)
27	6	704	993	96.581184	3232
28	0	128	1014	-1.0	
28	1	128	1014	96.492653	Red
28	2	166	1014	80.215118	Hands
28	3	262	1015	96.497925	3233
29	0	109	1064	-1.0	
29	1	109	1064	93.296478	SHERMAN
29	2	210	1064	90.16716	ALEXIE
29	3	284	1064	87.633896	(b.
29	4	314	1065	82.559151	1966)
29	5	704	1065	96.771111	3239
30	0	127	1086	-1.0	
30	1	127	1087	95.334755	At
30	2	152	1086	95.334755	Navajo
30	3	214	1086	96.479385	Monument
30	4	310	1086	94.846291	Valley
30	5	362	1086	96.953049	Tribal
30	6	416	1086	94.425034	School
30	7	515	1087	95.844818	3240
31	0	128	1108	-1.0	
31	1	128	1108	94.861908	Pawn
31	2	177	1108	83.716942	Shop
31	3	262	1109	59.106026	3241
32	0	128	1130	-1.0	
32	1	128	1130	96.772362	Sister
32	2	180	1130	96.725327	Fire,
32	3	223	1130	95.930412	Brother
32	4	291	1130	95.953339	Smoke
32	5	390	1131	96.240929	3241
33	0	126	1152	-1.0	
33	1	126	1152	80.16835	Tourists
33	2	236	1153	96.166824	3241
34	0	148	1174	-1.0	
34	1	148	1176	36.2556	3.
34	2	168	1174	36.2556	Marilyn
34	3	238	1174	60.029263	Monroe
34	4	345	1175	46.416351	3241
35	0	126	1196	-1.0	
35	1	126	1196	74.353737	‘The
35	2	165	1196	85.566223	Exaggeration
35	3	275	1196	96.847702	of
35	4	297	1196	57.963974	Despair
35	5	403	1197	33.367706	3242
