line_num	word_num	left	top	conf	text
0	0	0	0	-1.0	
0	0	119	63	-1.0	
0	0	119	63	-1.0	
1	0	120	63	-1.0	
1	1	120	64	45.158772	xii
1	2	156	63	65.016815	/
1	3	177	64	83.05191	Contents
2	0	140	112	-1.0	
2	1	140	112	95.941338	Footnote
2	2	218	116	96.746071	to
2	3	239	112	95.221825	Howl
2	4	326	113	94.969383	2583
3	0	139	134	-1.0	
3	1	139	135	10.24868	A
3	2	157	134	10.24868	Supermarket
3	3	268	136	94.595367	in
3	4	288	134	69.173111	California
3	5	414	135	61.753441	2584
4	0	140	156	-1.0	
4	1	140	156	96.769974	Sunflower
4	2	229	156	96.832222	Sutra
4	3	316	157	70.266945	2585
5	0	138	178	-1.0	
5	1	138	178	84.433266	To
5	2	163	179	95.415527	Aunt
5	3	210	178	96.197021	Rose
5	4	292	179	94.628502	2587
6	0	139	200	-1.0	
6	1	139	200	94.508087	On
6	2	171	200	93.860405	Burroughs’
6	3	264	200	96.548454	Work
6	4	350	201	96.677399	2588
7	0	140	222	-1.0	
7	1	140	222	90.678497	EgoConfession
7	2	310	223	68.846428	2589
8	0	121	266	-1.0	
8	1	121	266	61.39465	PRANK
8	2	190	266	95.877876	O'HARA
8	3	268	267	66.791183	(1926-1966)
8	4	715	267	96.348381	2590
9	0	138	288	-1.0	
9	1	138	288	90.791328	To
9	2	165	288	93.300827	the
9	3	197	288	91.234085	Harbormaster
9	4	352	289	96.660309	2591
10	0	139	310	-1.0	
10	1	139	310	95.229759	Why
10	2	184	310	37.666611	|
10	3	193	311	74.158524	Am
10	4	228	310	95.999619	Not
10	5	263	316	95.485977	a
10	6	278	310	96.546135	Painter
10	7	378	311	96.420975	2592
11	0	139	332	-1.0	
11	1	139	332	84.180214	AStepAway
11	2	246	332	95.492737	from
11	3	288	332	81.039948	Them
11	4	380	333	41.713676	2593
12	0	138	354	-1.0	
12	1	138	354	81.296242	The
12	2	177	354	90.667496	Day
12	3	215	354	90.667496	Lady
12	4	259	354	68.878693	Died
12	5	341	355	8.494965	2594
13	0	139	376	-1.0	
13	1	139	377	93.780884	A
13	2	156	376	93.780884	True
13	3	198	377	96.777473	Account
13	4	272	376	96.935783	of
13	5	293	376	96.945236	Talking
13	6	359	380	96.394096	to
13	7	380	376	96.394096	the
13	8	411	376	96.736595	Sun
13	9	449	380	96.736595	at
13	10	470	376	96.440453	Fire
13	11	508	376	96.883606	Island
13	12	600	377	96.028152	2595
14	0	120	420	-1.0	
14	1	120	420	88.335663	GALWAY
14	2	203	420	88.335663	KINNELL
14	3	294	420	68.641342	(b.
14	4	324	421	95.941833	1927)
14	5	715	421	96.321793	2597
15	0	138	442	-1.0	
15	1	138	442	79.657349	The
15	2	177	442	83.898125	Porcupine
15	3	302	443	31.944031	2598
16	0	140	464	-1.0	
16	1	140	464	96.322502	Blackberry
16	2	233	464	88.875038	Eating
16	3	328	465	0.0	2600
17	0	139	486	-1.0	
17	1	139	486	96.257225	After
17	2	186	486	96.435555	Making
17	3	254	486	95.996552	Love
17	4	297	486	95.996552	We
17	5	329	486	96.900124	Hear
17	6	375	486	96.780006	Footsteps
17	7	494	487	96.408447	2601
18	0	140	508	-1.0	
18	1	140	508	83.609955	Cemetery
18	2	222	508	69.907715	Angels
18	3	320	509	21.57785	2601
19	0	140	526	-1.0	
19	1	140	526	95.766541	Neverland
19	2	266	531	95.938683	2602
20	0	119	574	-1.0	
20	1	119	574	93.256889	JOHN
20	2	176	574	91.737869	ASHBERY
20	3	270	574	87.618546	(b.
20	4	299	575	96.544456	1927)
20	5	714	575	95.912636	2603
21	0	140	596	-1.0	
21	1	140	596	88.061722	Mlustration
21	2	274	597	96.349312	2605
22	0	140	618	-1.0	
22	1	140	618	91.81913	Soonest
22	2	210	618	91.860359	Mended
22	3	320	619	95.823265	2606
23	0	140	640	-1.0	
23	1	140	640	94.242485	Self-Portrait
23	2	245	642	91.940735	in
23	3	266	646	91.940735	a
23	4	280	640	96.214081	Convex
23	5	346	640	95.244438	Mirror
23	6	443	641	96.473862	2608
24	0	140	662	-1.0	
24	1	140	662	79.997673	Myrtle
24	2	237	663	63.000916	2619
25	0	120	708	-1.0	
25	1	120	708	53.425507	W.
25	2	148	708	53.425507	S.
25	3	170	708	91.142075	MERWIN
25	4	258	708	62.799278	(b.
25	5	288	709	96.008453	1927)
25	6	715	709	96.771317	2620
26	0	138	730	-1.0	
26	1	138	730	64.280159	‘The
26	2	177	730	96.226898	Drunk
26	3	235	732	95.288567	in
26	4	256	730	95.288567	the
26	5	288	730	96.172325	Furnace
26	6	398	731	95.569496	2621
27	0	140	752	-1.0	
27	1	140	752	95.858749	For
27	2	172	752	95.858749	the
27	3	202	753	86.604607	Anniversary
27	4	303	752	93.836349	of
27	5	326	752	96.619141	My
27	6	357	752	90.096375	Death
27	7	450	753	66.695541	2622
28	0	140	774	-1.0	
28	1	140	774	26.350647	Fora
28	2	186	774	26.350647	Coming
28	3	257	774	83.61937	Extinction
28	4	384	775	61.417229	2622
29	0	140	796	-1.0	
29	1	140	796	84.654823	Losinga
29	2	214	796	83.17585	Language
29	3	336	797	57.187214	2623
30	0	140	818	-1.0	
30	1	140	818	96.486771	Lament
30	2	208	818	96.377754	for
30	3	236	818	96.164566	the
30	4	268	818	96.164566	Makers
30	5	371	819	96.707169	2624
31	0	140	840	-1.0	
31	1	140	840	95.842422	Ceremony
31	2	229	840	95.008743	after
31	3	272	846	95.008743	an
31	4	296	841	96.695236	Amputation
31	5	436	841	96.924133	2630
32	0	119	884	-1.0	
32	1	119	884	96.352386	JAMES
32	2	187	884	96.168327	WRIGHT
32	3	274	885	60.726952	(1927-1980)
32	4	715	885	95.687317	2631
33	0	139	906	-1.0	
33	1	139	907	96.714874	Autumn
33	2	212	906	84.328743	Begins
33	3	272	908	84.328743	in
33	4	294	906	96.669052	Martins
33	5	363	906	95.737328	Ferry,
33	6	413	906	50.892159	Ohio
33	7	497	907	0.0	2633
34	0	138	928	-1.0	
34	1	138	928	88.342354	To
34	2	165	928	96.314659	the
34	3	197	928	96.796349	Evening
34	4	268	928	95.409973	Star:
34	5	312	928	95.546059	Central
34	6	380	928	95.670151	Minnesota
34	7	509	929	96.146904	2633
35	0	139	950	-1.0	
35	1	139	950	90.4282	ABlessing
35	2	268	951	45.533657	2633
36	0	139	972	-1.0	
36	1	139	973	87.689499	A
36	2	157	972	87.689499	Centenary
36	3	247	972	96.178703	Ode:
36	4	292	972	96.178703	Inscribed
36	5	374	976	94.038757	to
36	6	395	972	87.623352	Little
36	7	444	972	96.738602	Crow,
36	8	498	972	95.904999	Leader
36	9	558	972	94.846115	of
36	10	580	972	96.842331	the
36	11	611	972	96.842331	Sioux
37	0	181	994	-1.0	
37	1	181	994	96.817734	Rebellion
37	2	264	996	96.209381	in
37	3	286	994	96.460587	Minnesota,
37	4	386	995	95.016769	1862
37	5	468	995	95.719414	2634
38	0	139	1016	-1.0	
38	1	139	1016	83.791611	With
38	2	185	1016	96.800278	the
38	3	217	1016	96.657753	Shell
38	4	263	1016	96.664284	of
38	5	288	1012	95.120468	a
38	6	299	1016	96.390915	Hermit
