line_num	word_num	left	top	conf	text
0	0	0	0	-1.0	
0	0	119	63	-1.0	
0	0	119	63	-1.0	
1	0	120	63	-1.0	
1	1	120	64	45.158772	xii
1	2	156	63	65.016815	/
1	3	177	64	83.05191	Contents
2	0	119	112	-1.0	
2	1	119	112	93.23571	JEAN
2	2	178	112	90.555016	TOOMER
2	3	259	108	22.576477	(1894—1967)
2	4	717	113	94.312355	1816
3	0	140	134	-1.0	
3	1	140	134	96.535492	Cane
3	2	228	135	69.446426	1817
4	0	158	156	-1.0	
4	1	158	156	93.292297	Georgia
4	2	229	156	75.783615	Dusk
4	3	316	157	35.197601	1817
5	0	159	178	-1.0	
5	1	159	178	90.285141	Fern
5	2	241	180	88.198959	1818
6	0	159	200	-1.0	
6	1	159	200	96.722565	Portrait
6	2	226	202	96.909653	in
6	3	246	200	88.226311	Georgia
6	4	356	201	95.921371	1821
7	0	159	222	-1.0	
7	1	159	222	96.616135	Seventh
7	2	230	222	96.311028	Street
7	3	324	223	84.080269	1821
8	0	121	270	-1.0	
8	1	121	270	81.360443	F.
8	2	141	270	95.405739	SCOTT
8	3	210	270	96.063293	FITZGERALD
8	4	336	271	57.441299	(1896-1940)
8	5	717	271	95.750412	1822
9	0	139	292	-1.0	
9	1	139	292	96.226158	Winter
9	2	202	292	83.274727	Dreams
9	3	310	293	96.432671	1823
10	0	140	314	-1.0	
10	1	140	314	96.870926	Babylon
10	2	212	314	86.106079	Revisited
10	3	331	315	65.177399	1839
11	0	119	362	-1.0	
11	1	119	362	95.602341	JOHN
11	2	179	362	93.295944	DOS
11	3	225	362	90.970284	PASSOS
11	4	302	363	74.940224	(1896-1970)
11	5	717	363	96.334045	1853
12	0	140	380	-1.0	
12	1	140	380	38.019413	U.S.A.
12	2	239	385	96.384315	1854
13	0	158	406	-1.0	
13	1	158	406	96.677368	The
13	2	196	406	91.479584	Big
13	3	228	406	76.541504	Money
13	4	329	407	24.343079	1854
14	0	176	428	-1.0	
14	1	176	428	91.232422	Newsreel
14	2	256	428	32.078644	LXVIII
14	3	357	429	65.723923	1854
15	0	174	450	-1.0	
15	1	174	450	93.028618	The
15	2	212	450	96.809547	Camera
15	3	282	450	95.070023	Eye
15	4	316	451	59.388611	(51)
15	5	396	451	95.872368	1856
16	0	120	494	-1.0	
16	1	120	494	94.780785	WILLIAM
16	2	213	494	93.767159	FAULKNER
16	3	320	495	63.816772	(1897-1962)
16	4	717	495	93.753525	1858
17	0	139	516	-1.0	
17	1	139	517	90.648758	As
17	2	165	516	45.041107	|
17	3	177	516	95.852715	Lay
17	4	212	516	96.423103	Dying
17	5	305	517	95.944206	1860
18	0	140	538	-1.0	
18	1	140	538	96.639168	Barn
18	2	185	538	96.887215	Burning
18	3	296	539	95.34166	1955
19	0	121	582	-1.0	
19	1	121	578	95.161713	HART
19	2	180	578	95.161713	CRANE
19	3	251	583	69.798508	(1899-1932)
19	4	717	583	96.205719	1968
20	0	140	604	-1.0	
20	1	140	604	91.978653	Chaplinesque
20	2	297	606	0.0	1969
21	0	139	626	-1.0	
21	1	139	627	96.696869	At
21	2	164	626	90.761757	Melville's
21	3	244	626	96.46209	Tomb
21	4	336	628	95.6661	1969
22	0	139	648	-1.0	
22	1	139	648	83.05835	Voyages
22	2	249	649	34.670815	‘1970
23	0	159	670	-1.0	
23	1	159	670	65.503036	I
23	2	171	670	72.108002	"(""Above"
23	3	240	670	96.402473	the
23	4	271	670	95.619934	fresh
23	5	317	670	43.563225	ruffles
23	6	375	670	96.957932	of
23	7	396	670	93.697922	the
23	8	428	670	68.165634	"surf"")"
23	9	518	671	96.458237	1970
24	0	159	692	-1.0	
24	1	159	692	61.822899	HL
24	2	185	692	81.852524	(“Infinite
24	3	264	694	95.409927	consanguinity
24	4	383	694	89.486336	it
24	5	400	692	39.919933	"bears—"")"
24	6	521	693	39.919933	1971
25	0	158	714	-1.0	
25	1	158	714	24.663818	V
25	2	176	714	10.877464	"(""Meticulous,"
25	3	293	718	96.820602	past
25	4	332	714	96.551224	midnight
25	5	411	716	96.103401	in
25	6	431	714	96.103401	clear
25	7	477	714	94.631409	"rime"")"
25	8	573	715	96.211098	1971
26	0	138	736	-1.0	
26	1	138	736	82.21991	‘The
26	2	177	736	75.202095	Bridge
26	3	275	737	36.963428	1972
27	0	158	758	-1.0	
27	1	158	758	91.727905	To
27	2	184	758	92.528229	Brooklyn
27	3	263	758	73.004379	Bridge
27	4	361	759	63.078594	1972
28	0	159	780	-1.0	
28	1	159	780	94.857101	From
28	2	206	780	75.881401	IL.
28	3	231	780	88.689911	Powhatan’s
28	4	327	780	96.741325	Daughter
28	5	449	781	96.02771	1973
29	0	158	802	-1.0	
29	1	158	802	91.406204	VIL
29	2	194	802	91.406204	The
29	3	232	802	96.071053	Tunnel
29	4	335	803	96.519814	1977
30	0	121	846	-1.0	
30	1	121	846	96.567001	ERNEST
30	2	203	846	96.3843	HEMINGWAY
30	3	330	847	70.751114	(1899-1961)
30	4	717	848	82.9384	1980
31	0	138	868	-1.0	
31	1	138	868	75.502892	The
31	2	177	868	94.846123	Snows
31	3	234	868	96.69252	of
31	4	257	868	95.589523	Kilimanjaro
31	5	397	869	92.74128	1983
32	0	120	914	-1.0	
32	1	120	914	96.785332	THOMAS
32	2	210	914	95.453239	WOLFE
32	3	286	916	58.127388	(1900-1938)
32	4	717	916	61.573631	1999
33	0	138	936	-1.0	
33	1	138	936	81.187607	The
33	2	177	936	96.590103	Lost
33	3	218	936	84.611061	Boy
33	4	291	937	8.339966	2001
34	0	121	980	-1.0	
34	1	121	980	95.803856	STERLING
34	2	224	980	95.803856	BROWN
34	3	304	982	76.134262	(1901-1989)
34	4	715	981	95.773964	2020
35	0	140	1002	-1.0	
35	1	140	1002	96.715767	Mister
35	2	199	1002	96.460014	Samuel
35	3	265	1002	96.536858	and
35	4	300	1002	96.780655	Sam
35	5	379	1003	96.146576	2021
36	0	140	1024	-1.0	
36	1	140	1024	95.786156	He
36	2	169	1024	94.305916	Was
36	3	208	1030	94.305916	a
36	4	224	1024	79.948486	Man
36	5	304	1025	96.446312	2022
37	0	140	1046	-1.0	
37	1	140	1046	93.615219	Master
37	2	202	1046	93.615219	and
37	3	238	1046	96.762337	Man
37	4	318	1047	96.329285	2024
38	0	140	1068	-1.0	
38	1	140	1068	63.897881	Break
38	2	192	1068	63.897881	of
38	3	214	1068	86.505798	Day
38	4	288	1069	47.119095	2024
39	0	140	1090	-1.0	
39	1	140	1090	95.352875	Bitter
39	2	192	1090	95.352875	Fruit
39	3	237	1090	96.855865	of
39	4	258	1090	96.695084	the
39	5	288	1090	96.695084	Tree
39	6	368	1091	95.928299	2025
40	0	121	1136	-1.0	
40	1	121	1136	96.397224	LANGSTON
40	2	234	1136	95.626717	HUGHES
40	3	323	1137	82.112175	(1902-1967)
40	4	715	1137	95.749023	2026
41	0	138	1158	-1.0	
41	1	138	1158	85.20285	‘The
41	2	178	1158	96.68	Negro
41	3	232	1158	96.715218	Speaks
41	4	294	1158	96.715218	of
41	5	316	1158	68.954094	Rivers
41	6	408	1159	14.906952	2027
42	0	140	1180	-1.0	
