line_num	word_num	left	top	text	conf
0	0	0	0		-1.0
0	0	179	94		-1.0
0	0	179	94		-1.0
1	0	180	94		-1.0
1	1	180	96	xiv	85.202591
1	2	240	94	f	27.252464
1	3	269	96	Conrents	73.161858
2	0	179	168		-1.0
2	1	179	168	JOHN	91.927139
2	2	269	168	UPDIKE	84.592712
2	3	386	168	(b.	91.010071
2	4	431	170	1932)	96.274002
2	5	1072	170	2711	95.754723
3	0	205	197		-1.0
3	1	205	197	Separating	96.339455
3	2	405	203	2713	95.896019
4	0	182	264		-1.0
4	1	182	264	PHILIP	96.045883
4	2	288	264	ROTH	93.293472
4	3	377	264	(b.	90.924828
4	4	422	266	1933)	93.925507
4	5	1072	266	2720	94.200058
5	0	210	296		-1.0
5	1	210	296	Defender	96.712524
5	2	331	297	of	96.448242
5	3	364	297	the	96.563454
5	4	411	297	Faith	96.563454
5	5	537	299	2722	96.838394
6	0	180	356		-1.0
6	1	180	357	AMIRI	88.689545
6	2	280	357	BARAKA	88.33593
6	3	394	357	(LEROI	73.857498
6	4	501	357	JONES)	93.224838
6	5	612	356	(b.	88.437035
6	6	658	358	1934)	95.685394
6	7	1072	359	2743	94.526093
7	0	210	390		-1.0
7	1	210	390	Dutchman	94.816185
7	2	405	392	2745	94.717384
8	0	209	423		-1.0
8	1	209	424	An	84.126633
8	2	249	424	Agony.	84.126633
8	3	336	424	As	96.750313
8	4	375	423	Now.	91.301422
8	5	501	425	2758	96.123695
9	0	209	455		-1.0
9	1	209	457	A	96.129211
9	2	237	457	Poem	95.723717
9	3	311	455	for	95.686256
9	4	354	456	Willie	94.937584
9	5	435	456	Best	96.963264
9	6	551	458	2759	96.769234
10	0	209	489		-1.0
10	1	209	489	Will	96.181931
10	2	267	489	They	96.304886
10	3	336	489	Cry	96.304886
10	4	387	489	When	96.423004
10	5	468	489	You're	95.017235
10	6	549	490	Gone,	95.448257
10	7	631	489	You	95.860985
10	8	684	489	Bet	96.78244
10	9	789	491	2764	95.149567
11	0	182	557		-1.0
11	1	182	558	N.	91.995491
11	2	219	558	SCOTT	91.337975
11	3	324	558	MOMADAY	91.337975
11	4	482	557	(b.	71.907211
11	5	526	559	1934)	85.135391
11	6	1072	560	2764	95.865273
12	0	208	591		-1.0
12	1	208	591	The	95.223679
12	2	264	591	Way	95.807205
12	3	325	597	to	95.807205
12	4	357	591	Rainy	95.838837
12	5	435	591	Mountain	95.838837
12	6	620	593	2766	96.723671
13	0	239	620		-1.0
13	1	239	620	Headwaters	96.014923
13	2	447	626	2766	96.179626
14	0	239	653		-1.0
14	1	239	653	Introduction	94.50164
14	2	457	659	2766	95.652901
15	0	239	691		-1.0
15	1	239	691	Iv	81.795326
15	2	330	692	2770	96.422653
16	0	237	723		-1.0
16	1	237	723	NU	48.577637
16	2	351	725	2771	93.931183
17	0	237	756		-1.0
17	1	237	756	XVII	77.019272
17	2	358	758	2771	95.640297
18	0	233	785		-1.0
18	1	233	785	XXIV	72.440514
18	2	366	791	2772	95.08223
19	0	239	818		-1.0
19	1	239	818	Epilogue	96.50367
19	2	410	824	2773	96.39389
20	0	239	855		-1.0
20	1	239	855	Rainy	96.14209
20	2	317	855	Mountain	96.047325
20	3	446	855	Cemetery	96.224236
20	4	628	857	2775	95.337982
21	0	180	929		-1.0
21	1	180	930	GERALD	93.298492
21	2	307	930	VIZENOR	91.703156
21	3	444	929	(b.	91.035408
21	4	490	931	193-4)	68.210579
21	5	1072	932	2775	94.594986
22	0	209	963		-1.0
22	1	209	963	Almost	96.328873
22	2	305	963	Browne	96.924911
22	3	461	965	2776	96.688759
23	0	180	1038		-1.0
23	1	180	1038	AUDRE	91.394264
23	2	290	1038	LORDE	91.394264
23	3	398	1040	(1934-1992)	81.263138
23	4	1072	1040	2781	86.114738
24	0	209	1067		-1.0
24	1	209	1067	Coal	94.116722
24	2	330	1073	2782	96.194839
25	0	208	1104		-1.0
25	1	208	1104	The	96.200607
25	2	264	1104	Woman	96.286057
25	3	366	1104	Thing	95.946831
25	4	502	1106	2783	96.53775
26	0	210	1137		-1.0
26	1	210	1137	Black	96.699165
26	2	287	1137	Mother	95.906693
26	3	385	1137	Woman	96.656036
26	4	543	1139	2784	95.665459
27	0	180	1214		-1.0
27	1	180	1215	CHARLES	96.69577
27	2	324	1215	WRIGHT	93.237282
27	3	453	1214	(b.	91.852791
27	4	499	1216	1935)	91.958679
27	5	1072	1217	2784	96.807938
28	0	210	1249		-1.0
28	1	210	1249	Him	96.157425
28	2	328	1250	2786	96.48999
29	0	208	1281		-1.0
29	1	208	1281	Two	94.987579
29	2	268	1281	Stories	96.367981
29	3	417	1283	2786	96.441612
30	0	209	1314		-1.0
30	1	209	1315	A	96.75489
30	2	233	1314	Journal	96.555916
30	3	332	1314	of	96.882401
30	4	365	1314	the	96.912529
30	5	410	1314	Year	96.912529
30	6	468	1314	of	96.669357
30	7	501	1314	the	96.156647
30	8	548	1315	Ox	96.982819
30	9	646	1316	2788	96.573616
31	0	245	1346		-1.0
31	1	245	1349	12	95.46106
31	2	282	1346	December	95.46106
31	3	419	1349	1985	96.530479
31	4	541	1349	2788	96.53624
32	0	210	1380		-1.0
32	1	210	1381	Poem	94.930511
32	2	287	1380	Half	89.045334
32	3	347	1383	in	89.045334
32	4	379	1380	the	94.212708
32	5	428	1380	Manner	94.914497
32	6	531	1380	of	94.914497
32	7	564	1381	Li	95.71209
32	8	599	1381	Ho	95.71209
32	9	699	1382	2789	95.758888
33	0	209	1413		-1.0
33	1	209	1413	Star	96.772995
33	2	267	1413	Turn	96.314537
33	3	335	1413	II	47.760658
33	4	419	1415	2790	95.505249
34	0	210	1446		-1.0
34	1	210	1442	North	95.994041
34	2	296	1442	American	95.994041
34	3	416	1446	Bear	96.703171
34	4	535	1448	2790	96.397911
35	0	182	1520		-1.0
